349769407910986100, 8.012456604207316e+37, 8.012456604207316e+37
440860362673211140, 7.489916696191068e+37, 7.489916696191068e+37
550580752073307700, 6.934324866844074e+37, 6.934324866844074e+37
700416423061726100, 6.482096336062041e+37, 6.482096336062041e+37
874700728361900500, 6.059360315074354e+37, 6.059360315074354e+37
1113001131517113600, 5.346055619864543e+37, 5.346055619864543e+37
1389894926784397300, 5.04578649792611e+37, 5.04578649792611e+37
1784085668909205800, 5.04578649792611e+37, 5.04578649792611e+37
2208279498076083500, 4.324971635754172e+37, 4.324971635754172e+37 
2834244839242526700, 4.451799177013136e+37, 4.451799177013136e+37
3507451562699575300, 4.004151124598953e+37, 4.004151124598953e+37
4461800775021370400, 3.7792520536232224e+37, 3.7792520536232224e+37
5519031195857663000, 3.815838259619033e+37, 3.815838259619033e+37
7016370007061268000, 4.2017572909988925e+37, 4.2017572909988925e+37 
8755811074987203000, 4.71672077654522e+37, 4.71672077654522e+37
11131303309201205000, 5.193751559698834e+37, 5.193751559698834e+37
14022104332868674000, 5.609885211588081e+37, 5.609885211588081e+37
17507153515973655000, 5.556097707506472e+37, 5.556097707506472e+37
22261231837435687000, 5.830292944888731e+37, 5.830292944888731e+37
28057671146267038000, 5.502825917291674e+37, 5.502825917291674e+37
35352458400261214000, 5.609885211588081e+37, 5.609885211588081e+37
44576594603669770000, 4.762382435388603e+37, 4.762382435388603e+37
55735380118036770000, 3.3023906947136635e+37, 3.5550642792139678e+37
70980125784900660000, 2.357137608945747e+37, 2.627190260467577e+37
88885923476178550000, 1.1117959933290525e+37, 1.3798456489951145e+37
112086643457171180000, 9.2582136065286e+36, 1.203672877352084e+37
140172223243800720000, 6.118019806832252e+36, 1.0297027305689279e+37
